EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540 15.258  2.54    3.18   16.24    2.10    0.03   18.36  0.786
   3.418  0.190 11.71    4.20   20.19    2.81    0.03   23.03 2.514E+02

  10.540 16.659  2.68    4.00   18.69    2.68    0.04   21.41  0.775
   3.028  0.190 12.30    5.33   23.48    3.59    0.04   27.11 1.800E+02

  10.540 18.419  2.83    5.28   21.94    3.63    0.05   25.61  0.761
   2.617  0.190 12.92    7.12   27.84    4.86    0.05   32.75 1.256E+02

  10.540 20.736  2.98    7.42   26.58    5.30    0.06   31.94  0.741
   2.183  0.190 13.58   10.18   34.08    7.11    0.06   41.25 8.466E+01

  10.540 24.001  3.14   11.43   34.00    8.60    0.09   42.69  0.716
   1.725  0.190 14.28   16.06   44.06   11.55    0.09   55.71 5.410E+01

  10.540 29.150  3.32   20.21   47.33   16.12    0.15   63.60  0.673
   1.242  0.190 15.01   29.41   62.04   21.65    0.15   83.84 3.157E+01

  10.540 39.327  3.50   45.70   76.06   39.04    0.32  115.42  0.611
   0.733  0.190 15.78   70.04  100.85   52.64    0.32  153.81 1.515E+01

  10.540 84.012  3.68  148.49  140.04  148.65    3.10  291.78  0.564
   0.195  0.190 16.61  248.95  179.67  203.03    3.43  386.12 3.310E+00

  10.540  6.349  1.03    1.58   -0.06    1.33    0.00    1.26  0.868
   7.940  0.210  4.73    2.10   -1.42    1.72    0.00    0.31 1.641E+04

  10.540  6.580  1.08    1.50    0.31    1.25    0.00    1.55  0.868
   7.798  0.210  4.94    1.98   -0.93    1.62    0.00    0.69 1.360E+04

  10.540  6.824  1.14    1.42    0.69    1.17    0.00    1.87  0.867
   7.647  0.210  5.17    1.88   -0.43    1.53    0.00    1.11 1.123E+04

