                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   5.7890  10.5235  0.57257E+03  0.60256E+03  0.33401E-01  0.59824E+03  0.60438E+03  0.33292E-01  0.59919E+03
   10.5400   5.5280  11.0609  0.45146E+03  0.47842E+03  0.30171E-01  0.47496E+03  0.48049E+03  0.30092E-01  0.47633E+03
   10.5400   5.2530  11.6548  0.35330E+03  0.37727E+03  0.27236E-01  0.37447E+03  0.37943E+03  0.27183E-01  0.37607E+03
   10.5400   4.9640  12.3164  0.27422E+03  0.29528E+03  0.24509E-01  0.29299E+03  0.29744E+03  0.24477E-01  0.29468E+03
   10.5400   4.6580  13.0604  0.21091E+03  0.22926E+03  0.22158E-01  0.22736E+03  0.23134E+03  0.22142E-01  0.22905E+03
   10.5400   4.3360  13.9067  0.16057E+03  0.17641E+03  0.19994E-01  0.17481E+03  0.17837E+03  0.19992E-01  0.17643E+03
   10.5400   3.9960  14.8827  0.12083E+03  0.13439E+03  0.18081E-01  0.13301E+03  0.13619E+03  0.18092E-01  0.13453E+03
   10.5400   3.6370  16.0274  0.89696E+02  0.10124E+03  0.16403E-01  0.10002E+03  0.10287E+03  0.16424E-01  0.10140E+03
   10.5400   3.2590  17.3992  0.65493E+02  0.75250E+02  0.14873E-01  0.74145E+02  0.76713E+02  0.14901E-01  0.75380E+02
   10.5400   2.8600  19.0894  0.46836E+02  0.55069E+02  0.13544E-01  0.54033E+02  0.56373E+02  0.13578E-01  0.55124E+02
   10.5400   2.4390  21.2518  0.32577E+02  0.39541E+02  0.12406E-01  0.38529E+02  0.40705E+02  0.12445E-01  0.39484E+02
   10.5400   1.9960  24.1712  0.21763E+02  0.27709E+02  0.11385E-01  0.26669E+02  0.28756E+02  0.11429E-01  0.27501E+02
   10.5400   1.5280  28.4546  0.13642E+02  0.18849E+02  0.10645E-01  0.17705E+02  0.19814E+02  0.10694E-01  0.18433E+02
   10.5400   1.0340  35.7328  0.75901E+01  0.12336E+02  0.10462E-01  0.10969E+02  0.13263E+02  0.10546E-01  0.11609E+02
   10.5400   0.5130  53.1275  0.31098E+01  0.74658E+01  0.15297E-01  0.56936E+01  0.83692E+01  0.17231E-01  0.62113E+01
   10.5400   8.3570   6.1886  0.89272E+04  0.87990E+04  0.72303E-01  0.86747E+04  0.87175E+04  0.71405E-01  0.85715E+04
   10.5400   8.2380   6.4020  0.74302E+04  0.73414E+04  0.63977E-01  0.72449E+04  0.72770E+04  0.63223E-01  0.71633E+04
   10.5400   8.1110   6.6261  0.61695E+04  0.61124E+04  0.57061E-01  0.60375E+04  0.60619E+04  0.56424E-01  0.59737E+04
   10.5400   7.9780   6.8619  0.51131E+04  0.50797E+04  0.50726E-01  0.50217E+04  0.50404E+04  0.50192E-01  0.49720E+04
   10.5400   7.8370   7.1105  0.42276E+04  0.42123E+04  0.45267E-01  0.41675E+04  0.41820E+04  0.44818E-01  0.41291E+04
