                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   7.2700   7.7876  0.50863E+05  0.51436E+05  0.17631E+00  0.51060E+05  0.50484E+05  0.17215E+00  0.49922E+05
   10.5400   7.0910   8.0989  0.41364E+05  0.41995E+05  0.15791E+00  0.41704E+05  0.41303E+05  0.15448E+00  0.40867E+05
   10.5400   6.9020   8.4314  0.33529E+05  0.34180E+05  0.14160E+00  0.33954E+05  0.33689E+05  0.13880E+00  0.33351E+05
   10.5400   6.7020   8.7877  0.27073E+05  0.27720E+05  0.12737E+00  0.27545E+05  0.27386E+05  0.12509E+00  0.27123E+05
   10.5400   6.4920   9.1709  0.21765E+05  0.22390E+05  0.11421E+00  0.22253E+05  0.22173E+05  0.11238E+00  0.21967E+05
   10.5400   6.2700   9.5847  0.17411E+05  0.18002E+05  0.10265E+00  0.17895E+05  0.17875E+05  0.10120E+00  0.17714E+05
   10.5400   6.0360  10.0337  0.13851E+05  0.14401E+05  0.92229E-01  0.14317E+05  0.14340E+05  0.91109E-01  0.14213E+05
   10.5400   5.7890  10.5235  0.10951E+05  0.11456E+05  0.82945E-01  0.11389E+05  0.11442E+05  0.82098E-01  0.11341E+05
   10.5400   5.5280  11.0609  0.85997E+04  0.90570E+04  0.74771E-01  0.90035E+04  0.90769E+04  0.74153E-01  0.89959E+04
   10.5400   5.2530  11.6548  0.67023E+04  0.71115E+04  0.67353E-01  0.70683E+04  0.71536E+04  0.66926E-01  0.70881E+04
   10.5400   4.9640  12.3164  0.51798E+04  0.55406E+04  0.60449E-01  0.55054E+04  0.55957E+04  0.60184E-01  0.55423E+04
   10.5400   4.6580  13.0604  0.39661E+04  0.42821E+04  0.54532E-01  0.42529E+04  0.43446E+04  0.54399E-01  0.43001E+04
   10.5400   4.3360  13.9067  0.30045E+04  0.32779E+04  0.49082E-01  0.32533E+04  0.33426E+04  0.49060E-01  0.33051E+04
   10.5400   3.9960  14.8827  0.22484E+04  0.24829E+04  0.44282E-01  0.24617E+04  0.25466E+04  0.44349E-01  0.25144E+04
   10.5400   3.6370  16.0274  0.16587E+04  0.18582E+04  0.40080E-01  0.18396E+04  0.19190E+04  0.40221E-01  0.18906E+04
   10.5400   3.2590  17.3992  0.12023E+04  0.13707E+04  0.36240E-01  0.13538E+04  0.14271E+04  0.36440E-01  0.14014E+04
   10.5400   2.8600  19.0894  0.85245E+03  0.99395E+03  0.32910E-01  0.97808E+03  0.10456E+04  0.33159E-01  0.10214E+04
   10.5400   2.4390  21.2518  0.58692E+03  0.70573E+03  0.30053E-01  0.69025E+03  0.75249E+03  0.30342E-01  0.72891E+03
   10.5400   1.9960  24.1712  0.38732E+03  0.48742E+03  0.27459E-01  0.47161E+03  0.52969E+03  0.27782E-01  0.50559E+03
   10.5400   1.5280  28.4546  0.23918E+03  0.32507E+03  0.25525E-01  0.30785E+03  0.36385E+03  0.25884E-01  0.33758E+03
   10.5400   1.0340  35.7328  0.13051E+03  0.20661E+03  0.24611E-01  0.18634E+03  0.24315E+03  0.25025E-01  0.21219E+03
   10.5400   0.5130  53.1275  0.51716E+02  0.11891E+03  0.27872E-01  0.93407E+02  0.15262E+03  0.28583E-01  0.11367E+03
   10.5400   8.3570   6.1886  0.18354E+06  0.17856E+06  0.16833E+00  0.17663E+06  0.17165E+06  0.16195E+00  0.16880E+06
   10.5400   8.2380   6.4020  0.15212E+06  0.14854E+06  0.14858E+00  0.14703E+06  0.14307E+06  0.14322E+00  0.14085E+06
   10.5400   8.1110   6.6261  0.12565E+06  0.12317E+06  0.13232E+00  0.12200E+06  0.11889E+06  0.12779E+00  0.11716E+06
   10.5400   7.9780   6.8619  0.10348E+06  0.10184E+06  0.11739E+00  0.10094E+06  0.98510E+05  0.11360E+00  0.97170E+05
   10.5400   7.8370   7.1105  0.84987E+05  0.83972E+05  0.10459E+00  0.83274E+05  0.81401E+05  0.10141E+00  0.80364E+05
   10.5400   7.6890   7.3729  0.69640E+05  0.69075E+05  0.92984E-01  0.68536E+05  0.67099E+05  0.90332E-01  0.66299E+05
